DATE,BOROUGH,DIRECTION,MAIN STREET,CROSS STREET,TYPE,TRUCK ROUTE,STRUCK OVERPASS,STATE OF OPERATORS LICENSE,BRIDGE IDENTIFICATION NUMBER,LATITUDE,LONGITUDE,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
09/17/2016,QUEENS,E/B,FRANCIS LEWIS BOULEVARD,BROOKVILLE BOULEVARD,STRIKE,NO,YES,N/A,,40.66761,-73.737391,POINT (-73.737391 40.66761),24018,63,3,47,63
09/30/2013,QUEENS,S/B,CROSS ISLAND PARKWAY,UNION TURNPIKE,STRIKE,NO,YES,GA,2231850,40.74087,-73.726832,POINT (-73.726832 40.74087),24335,63,3,16,63
04/21/2015,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,N/A,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
11/25/2016,QUEENS,E/B,JACKIE ROBINSON PARKWAY,MYRTLE AVENUE,STRIKE,NO,YES,N/A,2230120,40.702909,-73.858049,POINT (-73.858049 40.702909),15310,54,3,34,62
02/26/2014,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,NO,WA,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
06/30/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NY,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
02/22/2017,QUEENS,E/B,BROOKLYN QUEENS EXPRESSWAY,69th STREET,STRIKE,YES,YES,N/A,2230550,40.749883,-73.897232,POINT (-73.897232 40.749883),14787,53,3,33,66
04/30/2013,QUEENS,S/B,CROSS ISLAND PARKWAY,NORTHERN BOULEVARD,STRIKE,NO,YES,N/A,2231870,40.762317,-73.757125,POINT (-73.757125 40.762317),14197,26,3,20,69
04/06/2019,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 239th STREET,STRIKE,NO,YES,GA,2229470,40.889358,-73.908774,POINT (-73.908774 40.889358),11609,48,5,40,33
02/21/2015,BROOKLYN,E/B,BELT PARKWAY,92nd STREET,STRIKE,NO,NO,N/A,2232167,40.628854,-73.888429,POINT (-73.888429 40.628854),13827,33,2,8,42
06/07/2018,QUEENS,S/B,CROSS ISLAND PARKWAY,LINDEN BOULEVARD,STRIKE,NO,YES,N/A,2231750,40.690743,-73.72678,POINT (-73.72678 40.690743),15311,63,3,6,63
06/09/2015,BROOKLYN,E/B,LINDEN BOULEVARD,ELTON STREET,STRIKE,YES,YES,N/A,,40.663446,-73.87916,POINT (-73.87916 40.663446),17215,45,2,25,47
12/23/2018,QUEENS,W/B,SOUTHERN STATE PARKWAY,BELT PARKWAY,STRIKE,NO,YES,NJ,2231750,40.685299,-73.726345,POINT (-73.726345 40.685299),15311,63,3,6,63
08/12/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
09/24/2018,BROOKLYN,E/B,BELT PARKWAY,OCEAN PARKWAY,STRIKE,NO,YES,FL,2231360,40.583891,-73.966856,POINT (-73.966856 40.583891),13826,21,2,45,35
06/04/2013,MANHATTAN,N/B,FDR DRIVE,EAST 53rd STREET,STRIKE,NO,YES,N/A,2233040,40.75467,-73.962254,POINT (-73.962254 40.75467),12419,71,4,1,9
09/20/2013,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WHITESTONE BRIDGE,STRIKE,NO,YES,N/A,,40.811186,-73.835715,POINT (-73.835715 40.811186),11274,43,5,12,28
01/29/2017,QUEENS,E/B,QUEENSBORO BRIDGE,,STRIKE,YES,YES,N/A,224004F,40.756907,-73.954448,POINT (-73.954448 40.756907),13099,23,4,1,72
02/15/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
01/13/2014,QUEENS,N/B,CROSS ISLAND PARKWAY,WEST ALLEY ROAD,STRIKE,NO,YES,N/A,2231860,40.751706,-73.742698,POINT (-73.742698 40.751706),14197,26,3,16,69
10/20/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
12/03/2016,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,FL,2231290,40.601576,-74.011933,POINT (-74.011933 40.601576),17616,1,2,44,37
10/22/2015,MANHATTAN,S/B,FDR DRIVE,EAST 111th STREET,STRIKE,NO,YES,N/A,2232190,40.791787,-73.935472,POINT (-73.935472 40.791787),12426,7,4,35,14
09/08/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,MA,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
06/27/2013,QUEENS,E/B,CROSS ISLAND PARKWAY,147th STREET,STRIKE,NO,YES,N/A,2231980,40.789168,-73.819427,POINT (-73.819427 40.789168),14192,22,3,20,67
11/04/2018,QUEENS,S/B,CROSS ISLAND PARKWAY,SOUTHERN STATE PARKWAY,STRIKE,NO,YES,N/A,2266770,40.685666,-73.726403,POINT (-73.726403 40.685666),15311,63,3,6,63
03/24/2014,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,N/A,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
07/30/2018,BROOKLYN,E/B,BELT PARKWAY,BAY 8th STREET,STRIKE,NO,YES,N/A,2231290,40.603714,-74.019181,POINT (-74.019181 40.603714),17216,10,2,44,41
03/27/2013,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842936,-73.83761,POINT (-73.83761 40.842936),11270,43,5,12,28
04/14/2019,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,GA,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
06/27/2018,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,NY,2075820,40.840208,-73.837796,POINT (-73.837796 40.840208),11270,43,5,12,28
11/25/2013,QUEENS,S/B,LAURELTON PARKWAY,MERRICK BOULEVARD,STRIKE,NO,YES,N/A,2231720,40.673938,-73.734519,POINT (-73.734519 40.673938),24018,63,3,47,63
04/28/2017,BROOKLYN,E/B,BELT PARKWAY,BAY 8th STREET,STRIKE,NO,YES,PA,2231290,40.603714,-74.019181,POINT (-74.019181 40.603714),17216,10,2,44,41
02/14/2015,MANHATTAN,N/B,FDR DRIVE,EAST 58th STREET,STRIKE,NO,YES,N/A,2233040,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
10/16/2013,MANHATTAN,N/B,FDR DRIVE,EAST 57th STREET,STRIKE,NO,YES,N/A,2233040,40.757053,-73.959903,POINT (-73.959903 40.757053),,71,4,1,9
07/28/2019,BROOKLYN,E/B,BELT PARKWAY,CROPSEY AVENUE,STRIKE,NO,YES,N/A,2231340,40.584154,-73.98696,POINT (-73.98696 40.584154),17616,21,2,45,35
10/14/2017,BROOKLYN,E/B,BELT PARKWAY,EAST 14th STREET,STRIKE,NO,YES,N/A,2233080,40.585038,-73.954744,POINT (-73.954744 40.585038),13826,32,2,15,36
04/16/2016,BROOKLYN,E/B,BELT PARKWAY,SHELL ROAD,STRIKE,NO,YES,N/A,7233000,40.582824,-73.97448,POINT (-73.97448 40.582824),18184,21,2,45,35
07/07/2015,STATEN ISLAND,N/B,WEST SHORE EXPRESSWAY,ARTHUR KILL ROAD,STRIKE,NO,YES,NY,1075142,40.557239,-74.204841,POINT (-74.204841 40.557239),10699,15,1,9,77
12/29/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,GA,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
05/28/2014,BROOKLYN,E/B,BELT PARKWAY,CONEY ISLAND AVENUE,STRIKE,NO,NO,SC,2231610,40.584596,-73.960353,POINT (-73.960353 40.584596),13826,21,2,15,35
04/13/2015,QUEENS,W/B,GRAND CENTRAL PARKWAY,78th AVENUE,STRIKE,NO,YES,FL,7075210,40.716841,-73.830076,POINT (-73.830076 40.716841),14786,67,3,28,70
07/24/2015,MANHATTAN,N/B,FDR DRIVE,EAST 61st STREET,STRIKE,NO,NO,TX,2233038,40.760213,-73.957473,POINT (-73.957473 40.760213),10090,23,4,1,11
10/13/2018,QUEENS,W/B,JACKIE ROBINSON PARKWAY,METROPOLITAN AVENUE,STRIKE,NO,YES,N/A,2230179,40.708996,-73.841639,POINT (-73.841639 40.708996),24011,38,3,28,60
